Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.661381546092, -1.796605695930, -3.933364465061,-32.517534704466,
 -2.660230070112, -1.795746974765, -3.931461196538,-32.515122998566,
 -2.657972965366, -1.792652450650, -3.927767325402,-32.510674220485,
 -2.656808110922, -1.790511171387, -3.926129716608,-32.508654943160,
 -2.655295774508, -1.787958769506, -3.924494579738,-32.506386418701,
 -2.653633886126, -1.785382340513, -3.923483535177,-32.504357935556,
 -2.652084016528, -1.783128953798, -3.922597898367,-32.502367449696,
 -2.650390251429, -1.781295193677, -3.921439896693,-32.500441604419,
 -2.650390251429, -1.781295193677, -3.921439896693,-32.500441604419,
 -2.647857211581, -1.776953581762, -3.919944172489,-32.497339677930,
 -2.647643448836, -1.774790960343, -3.918923618827,-32.496237463186,
 -2.647354610614, -1.771870187057, -3.917279028234,-32.495786251948,
 -2.646920184130, -1.769097460096, -3.915782775517,-32.495757043846,
 -2.646946362170, -1.766272865301, -3.914744743443,-32.495325712940,
 -2.646613841104, -1.763376191984, -3.913819094015,-32.495576846773,
 -2.645978302671, -1.760271948447, -3.913418581022,-32.495747855127,
 -2.645188084865, -1.757265982659, -3.912801793679,-32.496325329096,
 -2.644752640222, -1.753974789717, -3.912322215211,-32.497192444195,
 -2.644017986214, -1.750729257607, -3.912312232251,-32.497771432873,
 -2.642005293737, -1.747702576201, -3.908493729371,-32.496793245660,
 -2.641743109754, -1.746167833801, -3.908158331043,-32.495443651779,
 -2.642178466268, -1.744862268395, -3.908072632157,-32.493578962722,
 -2.642307672765, -1.744314131059, -3.907877485043,-32.491962380931,
 -2.642346626698, -1.744351558092, -3.908102832873,-32.490362099930,
 -2.642989024119, -1.745275803864, -3.908137861792,-32.488761722668,
 -2.644309150441, -1.746459662310, -3.908428968538,-32.486910562072,
 -2.645707200913, -1.747415490701, -3.908782698988,-32.485584572127,
 -2.647159222379, -1.748930713424, -3.909055774889,-32.484820619052,
 -2.648363306555, -1.750183316471, -3.909532328829,-32.484011661338,
 -2.649836485740, -1.751996255069, -3.909882385343,-32.483552158789,
 -2.651129343267, -1.753947063898, -3.909606193032,-32.483440009184,
 -2.652221186326, -1.755269552167, -3.909973489039,-32.484330172885,
 -2.652221186326, -1.755269552167, -3.909973489039,-32.484330172885,
 -2.654270018732, -1.759102040725, -3.911849171293,-32.485485822275,
 -2.655579838029, -1.760682126571, -3.912846195085,-32.485865573579,
 -2.655579838029, -1.760682126571, -3.912846195085,-32.485865573579,
 -2.658977734946, -1.764339492133, -3.916234683345,-32.486109295095,
 -2.660661822313, -1.766011173725, -3.917787319151,-32.485833434491,
 -2.662360583840, -1.767460512372, -3.919265479931,-32.485879787064,
 -2.664060869230, -1.768880158689, -3.921141449808,-32.486243148429,
 -2.665444587679, -1.769811611826, -3.923393427054,-32.487082006694,
 -2.666559664132, -1.770796942337, -3.925719534150,-32.488195999636,
 -2.667858943081, -1.771639815715, -3.928717520823,-32.489446238820,
 -2.667858943081, -1.771639815715, -3.928717520823,-32.489446238820,
 -2.668982080339, -1.775701513605, -3.937566100066,-32.493941490762,
 -2.668982080339, -1.775701513605, -3.937566100066,-32.493941490762,
 -2.667791918510, -1.780350671804, -3.946968505826,-32.501001175058,
 -2.666950861732, -1.781565335495, -3.950703682951,-32.503682682034,
 -2.666950861732, -1.781565335495, -3.950703682951,-32.503682682034,
 -2.665337444594, -1.783863170942, -3.957121457437,-32.509095392251,
 -2.664201930163, -1.784651709362, -3.960119450163,-32.512086475316,
 -2.663394234553, -1.784904061538, -3.963435326610,-32.514525443452,
 -2.661927095866, -1.785774254805, -3.969626030176,-32.520360242747,
 -2.661899020984, -1.785924801418, -3.972870791090,-32.523159360609,
